date,symbol,close
2023-01-06,XAUUSD,1899.13
2023-01-13,XAUUSD,1888.14
2023-01-20,XAUUSD,1891.33
2023-01-27,XAUUSD,1905.16
2023-02-03,XAUUSD,1884.9
2023-02-10,XAUUSD,1887.23
2023-02-17,XAUUSD,1889.46
2023-02-24,XAUUSD,1842.0
2023-03-03,XAUUSD,1872.33
2023-03-10,XAUUSD,1891.44
2023-03-17,XAUUSD,1875.96
2023-03-24,XAUUSD,1873.39
2023-03-31,XAUUSD,1889.84
2023-04-07,XAUUSD,1884.7
2023-04-14,XAUUSD,1880.09
2023-04-21,XAUUSD,1841.37
2023-04-28,XAUUSD,1858.89
2023-05-05,XAUUSD,1864.58
2023-05-12,XAUUSD,1874.49
2023-05-19,XAUUSD,1833.82
2023-05-26,XAUUSD,1881.43
2023-06-02,XAUUSD,1888.04
2023-06-09,XAUUSD,1879.34
2023-06-16,XAUUSD,1938.8
2023-06-23,XAUUSD,1939.8
2023-06-30,XAUUSD,1899.92
2023-07-07,XAUUSD,1890.65
2023-07-14,XAUUSD,1828.03
2023-07-21,XAUUSD,1858.99
2023-07-28,XAUUSD,1849.61
2023-08-04,XAUUSD,1831.23
2023-08-11,XAUUSD,1862.89
2023-08-18,XAUUSD,1818.98
2023-08-25,XAUUSD,1835.78
2023-09-01,XAUUSD,1781.13
2023-09-08,XAUUSD,1765.58
2023-09-15,XAUUSD,1735.81
2023-09-22,XAUUSD,1775.95
2023-09-29,XAUUSD,1825.13
2023-10-06,XAUUSD,1818.31
2023-10-13,XAUUSD,1843.42
2023-10-20,XAUUSD,1840.65
2023-10-27,XAUUSD,1858.55
2023-11-03,XAUUSD,1839.79
2023-11-10,XAUUSD,1794.85
2023-11-17,XAUUSD,1748.46
2023-11-24,XAUUSD,1760.61
2023-12-01,XAUUSD,1822.08
2023-12-08,XAUUSD,1831.63
2023-12-15,XAUUSD,1819.41
2023-12-22,XAUUSD,1873.78
2023-12-29,XAUUSD,1882.7
2024-01-05,XAUUSD,1887.82
2024-01-12,XAUUSD,1897.24
2024-01-19,XAUUSD,1895.75
2024-01-26,XAUUSD,1889.22
2024-02-02,XAUUSD,1850.82
2024-02-09,XAUUSD,1866.97
2024-02-16,XAUUSD,1866.56
